Name,Points,Text,Address,Field1
Macho Oldtown,"4,5",(361),"Barbaros, Kocatepe Sk. No:2, 07100 Muratpaşa/Antalya",Ücretsiz kablosuz ağ bağlantısı
Macho Oldtown,"4,5",(361),"Barbaros, Kocatepe Sk. No:2, 07100 Muratpaşa/Antalya",Tuvalet
Macho Oldtown,"4,5",(361),"Barbaros, Kocatepe Sk. No:2, 07100 Muratpaşa/Antalya",Günlük kıyafet
Macho Oldtown,"4,5",(361),"Barbaros, Kocatepe Sk. No:2, 07100 Muratpaşa/Antalya",Rahat
Macho Oldtown,"4,5",(361),"Barbaros, Kocatepe Sk. No:2, 07100 Muratpaşa/Antalya",Aileler için uygun
Macho Oldtown,"4,5",(361),"Barbaros, Kocatepe Sk. No:2, 07100 Muratpaşa/Antalya",Gruplar
Macho Oldtown,"4,5",(361),"Barbaros, Kocatepe Sk. No:2, 07100 Muratpaşa/Antalya",Rezervasyon kabul ediyor
Macho Oldtown,"4,5",(361),"Barbaros, Kocatepe Sk. No:2, 07100 Muratpaşa/Antalya",Banka kartı
Macho Oldtown,"4,5",(361),"Barbaros, Kocatepe Sk. No:2, 07100 Muratpaşa/Antalya",Kredi kartı
Macho Oldtown,"4,5",(361),"Barbaros, Kocatepe Sk. No:2, 07100 Muratpaşa/Antalya",NFC ile mobil ödeme
Macho Oldtown,"4,5",(361),"Barbaros, Kocatepe Sk. No:2, 07100 Muratpaşa/Antalya",Çocuklar için uygun
Macho Oldtown,"4,5",(361),"Barbaros, Kocatepe Sk. No:2, 07100 Muratpaşa/Antalya",Mama sandalyesi
Cafe 155,"4,2",(86),"Selçuk, Selçuk Mah No:78, 07100 Muratpaşa/Antalya",
Yemen Kahvesi,"3,6",(30),"Pınarbaşı, Dumlupınar Bulvarı & Akdeniz Üniversitesi Yakut Çarşısı No: 12, 07070 Konyaaltı/Antalya",Açık hava bölümü
Yemen Kahvesi,"3,6",(30),"Pınarbaşı, Dumlupınar Bulvarı & Akdeniz Üniversitesi Yakut Çarşısı No: 12, 07070 Konyaaltı/Antalya",Paket servisi
Yemen Kahvesi,"3,6",(30),"Pınarbaşı, Dumlupınar Bulvarı & Akdeniz Üniversitesi Yakut Çarşısı No: 12, 07070 Konyaaltı/Antalya",İçeride servis
Yemen Kahvesi,"3,6",(30),"Pınarbaşı, Dumlupınar Bulvarı & Akdeniz Üniversitesi Yakut Çarşısı No: 12, 07070 Konyaaltı/Antalya",Kahve
